Date,Depth,Velocity E [cm/s],Velocity N [cm/s],Magnitude [cm/s],Direction [Degrees]
2024-06-18 07:00:00,2,-0.61,-9.37,9.39,183.7
2024-06-18 07:00:00,3,-0.83,-10.73,10.77,184.4
2024-06-18 07:00:00,4,-0.09,-11.1,11.1,180.5
2024-06-18 07:00:00,5,0.91,-13.36,13.39,176.1
2024-06-18 07:00:00,6,1.69,-15.95,16.04,173.9
2024-06-18 07:00:00,7,-0.09,-14.01,14.01,180.4
2024-06-18 07:00:00,8,0.19,-8.71,8.71,178.8
2024-06-18 07:00:00,9,-1.44,0.59,1.56,292.4
2024-06-18 07:00:00,10,-1.62,2.41,2.91,326.1
2024-06-18 07:00:00,11,-1.43,0.57,1.54,291.7
2024-06-18 07:00:00,12,-1.67,-0.37,1.71,257.4
2024-06-18 07:00:00,13,0.52,0.34,0.62,56.8
2024-06-18 07:00:00,14,3.23,1.71,3.65,62.0
2024-06-18 07:00:00,15,4.96,3.87,6.29,52.1
2024-06-18 07:00:00,16,5.67,5.0,7.56,48.6
2024-06-18 08:00:00,2,0.33,-8.18,8.19,177.7
2024-06-18 08:00:00,3,0.55,-9.67,9.68,176.7
2024-06-18 08:00:00,4,0.85,-10.57,10.6,175.4
2024-06-18 08:00:00,5,1.69,-13.17,13.28,172.7
2024-06-18 08:00:00,6,2.82,-15.81,16.06,169.9
2024-06-18 08:00:00,7,0.73,-13.83,13.85,177.0
2024-06-18 08:00:00,8,1.3,-7.29,7.41,169.9
2024-06-18 08:00:00,9,-0.39,1.65,1.7,346.8
2024-06-18 08:00:00,10,-2.4,0.89,2.56,290.3
2024-06-18 08:00:00,11,-3.75,-0.93,3.86,256.0
2024-06-18 08:00:00,12,-2.41,-1.47,2.83,238.6
2024-06-18 08:00:00,13,-0.28,0.41,0.5,325.9
2024-06-18 08:00:00,14,2.06,3.33,3.91,31.8
2024-06-18 08:00:00,15,3.43,4.72,5.84,36.0
2024-06-18 08:00:00,16,3.48,6.16,7.08,29.5
2024-06-18 09:00:00,2,1.67,-8.03,8.21,168.2
2024-06-18 09:00:00,3,1.33,-9.27,9.37,171.9
