Date,Avg_Sig_Wave_Height_(m),Max_Sig_Wave_Height_(m),Max_Top_10%_Wave_Height_(m),Avg_Peak_Period_(sec),Avg_Mean_Period_(sec),Avg_Depth_(mm)
2024-12-31,0.07,0.28,0.36,9.97,11.61,18237.73
2025-01-01,0.06,0.59,0.75,10.31,12.15,18288.75
2025-01-02,0.06,0.41,0.52,9.05,10.94,18295.33
2025-01-03,0.04,0.22,0.28,10.52,12.88,18260.58
2025-01-04,0.06,0.45,0.57,11.55,12.54,18213.75
2025-01-05,0.04,0.34,0.43,11.76,14.24,18144.79
2025-01-06,0.04,0.07,0.09,10.15,11.79,18213.46
2025-01-07,0.03,0.07,0.09,11.57,13.33,18279.67
2025-01-08,0.05,0.34,0.43,10.42,12.19,18266.25
2025-01-09,0.05,0.4,0.51,12.7,13.04,18220.0
2025-01-10,0.04,0.12,0.15,10.43,12.87,18179.67
2025-01-11,0.06,0.12,0.15,7.85,8.98,18225.5
2025-01-12,0.03,0.09,0.11,11.19,12.85,18267.21
2025-01-13,0.05,0.29,0.37,9.99,10.82,18273.79
2025-01-14,0.03,0.11,0.13,12.47,14.72,18245.04
2025-01-15,0.05,0.37,0.47,11.34,12.28,18235.21
2025-01-16,0.07,0.35,0.44,7.45,8.43,18285.75
2025-01-17,0.06,0.12,0.15,7.95,9.01,18290.75
2025-01-18,0.04,0.09,0.11,8.67,10.76,18264.5
2025-01-19,0.1,0.61,0.77,8.94,10.81,18250.96
2025-01-20,0.07,0.27,0.35,8.38,9.91,18255.46
2025-01-21,0.04,0.1,0.12,11.08,11.44,18277.33
2025-01-22,0.05,0.27,0.34,10.6,12.57,18256.29
2025-01-23,0.07,0.53,0.68,10.19,10.92,18270.46
2025-01-24,0.04,0.1,0.13,8.97,11.42,18277.42
2025-01-25,0.08,0.54,0.68,8.27,10.15,18264.54
2025-01-26,0.06,0.48,0.61,9.92,10.41,18256.33
2025-01-27,0.06,0.3,0.38,8.01,9.9,18254.83
2025-01-28,0.07,0.58,0.74,9.97,12.4,18266.75
2025-01-29,0.05,0.57,0.72,12.22,12.38,18290.0
2025-01-30,0.06,0.46,0.58,10.72,12.04,18299.62
2025-01-31,0.06,0.17,0.21,9.5,11.35,18281.46
2025-02-01,0.08,0.32,0.4,7.32,9.08,18289.58
2025-02-02,0.06,0.14,0.18,6.51,8.6,18283.67
2025-02-03,0.04,0.1,0.13,10.05,11.32,18239.83
2025-02-04,0.05,0.1,0.13,9.42,10.92,18218.71
2025-02-05,0.07,0.21,0.27,6.68,8.72,18171.5
2025-02-06,0.07,0.24,0.3,9.1,10.55,18191.96
2025-02-07,0.04,0.18,0.22,10.53,11.15,18257.25
2025-02-08,0.05,0.27,0.34,11.14,11.93,18280.54
2025-02-09,0.04,0.11,0.14,10.75,12.26,18268.96
2025-02-10,0.06,0.35,0.45,9.82,10.71,18251.12
2025-02-11,0.06,0.22,0.28,8.23,9.08,18263.71
2025-02-12,0.05,0.47,0.6,12.05,13.43,18285.67
2025-02-13,0.06,0.34,0.44,10.35,10.84,18303.21
2025-02-14,0.07,0.16,0.21,7.39,8.83,18309.71
2025-02-15,0.09,0.19,0.24,6.68,7.85,18247.0
2025-02-16,0.04,0.2,0.26,10.36,12.72,18236.58
2025-02-17,0.06,0.36,0.46,9.8,11.38,18269.29
2025-02-18,0.07,0.3,0.38,8.67,10.16,18275.17
2025-02-19,0.06,0.23,0.29,9.99,10.76,18243.17
2025-02-20,0.07,0.61,0.77,11.49,12.56,18250.29
2025-02-21,0.1,0.6,0.76,9.5,11.4,18282.04
2025-02-22,0.04,0.17,0.22,11.67,12.68,18294.83
2025-02-23,0.07,0.6,0.77,9.44,11.44,18328.88
2025-02-24,0.04,0.18,0.23,12.32,12.26,18360.25
2025-02-25,0.03,0.08,0.1,11.59,13.71,18348.04
2025-02-26,0.04,0.07,0.1,10.62,12.57,18321.75
2025-02-27,0.04,0.06,0.08,12.01,12.91,18320.04
2025-02-28,0.05,0.13,0.16,10.08,11.94,18276.54
2025-03-01,0.07,0.31,0.39,8.04,9.54,18282.46
2025-03-02,0.05,0.16,0.2,12.18,12.48,18287.54
2025-03-03,0.05,0.44,0.56,11.62,13.25,18198.25
2025-03-04,0.03,0.09,0.11,10.5,13.03,18145.5
2025-03-05,0.03,0.07,0.09,12.36,13.23,18203.08
2025-03-06,0.03,0.08,0.1,12.01,13.22,18222.75
2025-03-07,0.04,0.21,0.27,12.53,13.52,18182.5
2025-03-08,0.06,0.35,0.45,10.75,11.4,18163.12
2025-03-09,0.06,0.2,0.26,7.36,9.04,18181.33
2025-03-10,0.03,0.1,0.13,12.3,13.58,18220.33
2025-03-11,0.05,0.17,0.21,11.88,12.37,18237.71
2025-03-12,0.06,0.16,0.2,9.82,9.82,18237.56
