Date,Depth,Velocity E [cm/s],Velocity N [cm/s],Magnitude [cm/s],Direction [Degrees]
2024-06-18 10:00:00,2,1.78,-0.48,1.84,105.1
2024-06-18 10:00:00,3,5.9,-4.18,7.23,125.3
2024-06-18 10:00:00,4,5.16,-4.74,7.01,132.6
2024-06-18 10:00:00,5,2.72,-4.98,5.67,151.4
2024-06-18 10:00:00,6,0.24,-6.54,6.54,177.9
2024-06-18 10:00:00,7,-2.42,-6.24,6.69,201.2
2024-06-18 10:00:00,8,-5.14,-3.82,6.4,233.4
2024-06-18 10:00:00,9,-6.56,-1.98,6.85,253.2
2024-06-18 10:00:00,10,-7.2,-2.0,7.47,254.5
2024-06-18 10:00:00,11,-7.24,-0.7,7.27,264.5
2024-06-18 10:00:00,12,-3.32,-0.4,3.34,263.1
2024-06-18 10:00:00,13,-1.8,-3.1,3.58,210.1
2024-06-18 10:00:00,14,-2.98,-2.86,4.13,226.2
2024-06-18 10:00:00,15,-5.28,-1.92,5.62,250.0
2024-06-18 10:00:00,16,-5.0,-0.26,5.01,267.0
2024-06-18 10:00:00,17,-6.5,1.12,6.6,279.8
2024-06-18 11:00:00,2,2.32,-0.33,2.34,98.2
2024-06-18 11:00:00,3,7.12,-4.07,8.2,119.7
2024-06-18 11:00:00,4,4.02,-5.13,6.52,142.0
2024-06-18 11:00:00,5,1.13,-5.52,5.63,168.4
2024-06-18 11:00:00,6,-1.8,-4.93,5.25,200.0
2024-06-18 11:00:00,7,-7.02,1.37,7.15,281.0
2024-06-18 11:00:00,8,-9.02,4.5,10.08,296.5
2024-06-18 11:00:00,9,-10.0,5.12,11.23,297.1
2024-06-18 11:00:00,10,-10.12,4.58,11.11,294.4
2024-06-18 11:00:00,11,-9.13,1.92,9.33,281.9
2024-06-18 11:00:00,12,-9.18,0.23,9.19,271.5
2024-06-18 11:00:00,13,-9.38,-1.03,9.44,263.7
2024-06-18 11:00:00,14,-8.9,-1.32,9.0,261.6
2024-06-18 11:00:00,15,-6.32,-0.67,6.35,264.0
2024-06-18 11:00:00,16,-4.6,0.3,4.61,273.7
2024-06-18 11:00:00,17,-0.97,0.57,1.12,300.4
2024-06-18 12:00:00,2,0.75,4.4,4.46,9.7
2024-06-18 12:00:00,3,8.08,-0.22,8.09,91.5
2024-06-18 12:00:00,4,4.75,-1.07,4.87,102.7
2024-06-18 12:00:00,5,1.12,-2.12,2.39,152.2
2024-06-18 12:00:00,6,-1.58,-1.78,2.38,221.6
2024-06-18 12:00:00,7,-6.03,2.45,6.51,292.1
2024-06-18 12:00:00,8,-6.47,6.15,8.92,313.6
2024-06-18 12:00:00,9,-6.08,9.03,10.89,326.0
2024-06-18 12:00:00,10,-6.65,3.93,7.73,300.6
2024-06-18 12:00:00,11,-12.13,4.18,12.83,289.0
2024-06-18 12:00:00,12,-11.82,5.87,13.19,296.4
2024-06-18 12:00:00,13,-11.9,4.43,12.7,290.4
2024-06-18 12:00:00,14,-12.48,1.17,12.54,275.3
2024-06-18 12:00:00,15,-7.07,-0.92,7.13,262.6
2024-06-18 12:00:00,16,-3.5,-1.02,3.64,253.8
2024-06-18 12:00:00,17,3.42,-2.38,4.17,124.9
2024-06-18 13:00:00,2,-2.25,9.6,9.86,346.8
2024-06-18 13:00:00,3,5.05,4.02,6.45,51.5
2024-06-18 13:00:00,4,0.93,3.83,3.95,13.7
2024-06-18 13:00:00,5,-3.42,1.53,3.74,294.2
2024-06-18 13:00:00,6,-5.53,5.12,7.54,312.8
2024-06-18 13:00:00,7,-5.43,7.97,9.64,325.7
2024-06-18 13:00:00,8,-4.63,11.45,12.35,338.0
2024-06-18 13:00:00,9,-5.82,8.1,9.97,324.3
2024-06-18 13:00:00,10,-6.83,4.15,7.99,301.3
2024-06-18 13:00:00,11,-7.37,4.83,8.81,303.3
2024-06-18 13:00:00,12,-7.67,2.65,8.11,289.1
2024-06-18 13:00:00,13,-6.48,0.43,6.5,273.8
2024-06-18 13:00:00,14,-6.67,-1.5,6.83,257.3
2024-06-18 13:00:00,15,-4.52,-2.17,5.01,244.4
2024-06-18 13:00:00,16,-4.45,-1.85,4.82,247.4
2024-06-18 13:00:00,17,-1.47,-3.22,3.54,204.5
2024-06-18 14:00:00,2,-3.03,8.35,8.88,340.0
2024-06-18 14:00:00,3,1.43,4.2,4.44,18.8
2024-06-18 14:00:00,4,-3.92,3.8,5.46,314.1
2024-06-18 14:00:00,5,-7.6,3.63,8.42,295.6
2024-06-18 14:00:00,6,-5.3,8.25,9.81,327.3
2024-06-18 14:00:00,7,0.72,8.95,8.98,4.6
2024-06-18 14:00:00,8,0.3,10.13,10.14,1.7
2024-06-18 14:00:00,9,-1.85,6.23,6.5,343.5
2024-06-18 14:00:00,10,-3.88,4.68,6.08,320.3
2024-06-18 14:00:00,11,-5.87,3.12,6.64,298.0
2024-06-18 14:00:00,12,-5.83,1.2,5.96,281.6
2024-06-18 14:00:00,13,-6.52,0.4,6.53,273.5
2024-06-18 14:00:00,14,-6.27,-0.2,6.27,268.2
2024-06-18 14:00:00,15,-5.05,-0.5,5.07,264.3
2024-06-18 14:00:00,16,-4.28,0.1,4.28,271.3
2024-06-18 14:00:00,17,-1.13,-1.88,2.2,211.0
2024-06-18 15:00:00,2,-1.32,9.65,9.74,352.2
2024-06-18 15:00:00,3,-2.03,4.57,5.0,336.0
2024-06-18 15:00:00,4,-6.78,5.72,8.87,310.1
2024-06-18 15:00:00,5,-5.32,7.32,9.04,324.0
2024-06-18 15:00:00,6,0.8,9.7,9.73,4.7
2024-06-18 15:00:00,7,6.17,8.43,10.45,36.2
2024-06-18 15:00:00,8,4.0,8.75,9.62,24.6
2024-06-18 15:00:00,9,0.25,5.3,5.31,2.7
2024-06-18 15:00:00,10,-3.22,3.33,4.63,316.0
2024-06-18 15:00:00,11,-5.67,2.1,6.04,290.3
2024-06-18 15:00:00,12,-7.08,-0.68,7.12,264.5
2024-06-18 15:00:00,13,-5.38,-0.88,5.46,260.7
2024-06-18 15:00:00,14,-3.97,-0.87,4.06,257.7
2024-06-18 15:00:00,15,-3.85,-0.3,3.86,265.5
2024-06-18 15:00:00,16,-5.2,-1.15,5.33,257.5
2024-06-18 15:00:00,17,-3.88,-1.87,4.31,244.3
2024-06-18 16:00:00,2,-3.6,9.13,9.82,338.5
2024-06-18 16:00:00,3,-6.27,9.07,11.02,325.3
2024-06-18 16:00:00,4,-4.77,11.08,12.06,336.7
2024-06-18 16:00:00,5,2.4,11.42,11.67,11.9
2024-06-18 16:00:00,6,8.02,7.92,11.27,45.4
2024-06-18 16:00:00,7,8.93,6.52,11.06,53.9
2024-06-18 16:00:00,8,5.95,4.92,7.72,50.4
2024-06-18 16:00:00,9,2.02,4.0,4.48,26.8
2024-06-18 16:00:00,10,-0.97,0.18,0.98,280.7
2024-06-18 16:00:00,11,-4.35,-1.45,4.59,251.6
2024-06-18 16:00:00,12,-5.65,-1.65,5.89,253.7
