Date,Avg_Sig_Wave_Height_(m),Max_Sig_Wave_Height_(m),Max_Top_10%_Wave_Height_(m),Avg_Peak_Period_(sec),Avg_Mean_Period_(sec),Avg_Depth_(mm)
2025-05-11,0.04,0.27,0.34,11.65,12.65,17682.94
2025-05-12,0.15,0.63,0.8,8.19,9.03,17672.0
2025-05-13,0.03,0.06,0.07,10.23,11.87,17678.12
2025-05-14,0.1,0.33,0.42,7.3,8.5,17707.83
2025-05-15,0.1,0.37,0.47,8.24,8.85,17741.38
2025-05-16,0.03,0.14,0.18,11.96,12.95,17724.33
2025-05-17,0.03,0.16,0.2,11.49,13.12,17687.29
2025-05-18,0.1,0.42,0.54,8.6,9.08,17710.0
2025-05-19,0.13,0.46,0.58,9.3,10.0,17706.17
2025-05-20,0.08,0.35,0.44,7.75,9.83,17680.62
2025-05-21,0.05,0.2,0.25,9.55,9.99,17658.58
2025-05-22,0.05,0.22,0.27,11.22,11.78,17623.17
2025-05-23,0.18,0.56,0.71,8.56,9.55,17602.25
2025-05-24,0.12,0.6,0.76,11.0,10.62,17593.08
2025-05-25,0.02,0.03,0.04,13.5,15.56,17578.42
2025-05-26,0.02,0.16,0.21,12.19,14.58,17536.17
2025-05-27,0.17,0.46,0.58,7.61,8.35,17564.0
2025-05-28,0.1,0.39,0.49,8.15,9.38,17580.62
2025-05-29,0.09,0.32,0.4,8.07,9.69,17570.67
2025-05-30,0.03,0.1,0.13,10.59,11.31,17547.92
2025-05-31,0.05,0.26,0.33,8.2,9.43,17510.21
2025-06-01,0.06,0.31,0.39,8.54,10.17,17557.75
2025-06-02,0.15,0.45,0.57,8.59,9.51,17570.04
2025-06-03,0.18,0.58,0.74,6.77,8.33,17532.0
2025-06-04,0.15,0.53,0.67,7.28,8.92,17503.42
2025-06-05,0.04,0.23,0.29,11.01,11.49,17499.79
2025-06-06,0.04,0.15,0.19,10.19,11.03,17468.17
2025-06-07,0.05,0.21,0.27,8.91,10.61,17452.25
2025-06-08,0.13,0.44,0.55,7.09,8.44,17424.62
2025-06-09,0.07,0.22,0.28,8.66,10.26,17411.88
2025-06-10,0.04,0.12,0.15,8.9,10.62,17390.04
2025-06-11,0.06,0.23,0.29,8.06,9.78,17377.92
2025-06-12,0.1,0.42,0.54,9.13,10.65,17387.58
2025-06-13,0.07,0.4,0.51,10.95,12.21,17383.38
2025-06-14,0.1,0.5,0.63,8.6,10.5,17355.17
2025-06-15,0.13,0.5,0.64,8.03,9.07,17337.33
2025-06-16,0.09,0.41,0.52,9.4,10.77,17324.79
2025-06-17,0.05,0.16,0.21,8.22,9.33,17319.92
2025-06-18,0.03,0.16,0.21,11.96,13.48,17322.17
2025-06-19,0.07,0.34,0.43,9.12,10.76,17317.75
2025-06-20,0.16,0.63,0.8,8.72,9.46,17293.21
2025-06-21,0.11,0.56,0.71,10.71,11.05,17277.88
2025-06-22,0.15,0.67,0.85,7.23,8.85,17261.58
2025-06-23,0.14,0.47,0.6,7.73,8.96,17242.92
2025-06-24,0.07,0.35,0.45,10.27,11.35,17228.46
2025-06-25,0.11,0.46,0.59,8.62,9.97,17225.96
2025-06-26,0.07,0.35,0.44,10.27,11.53,17200.67
2025-06-27,0.06,0.28,0.35,10.3,11.25,17180.12
2025-06-28,0.08,0.47,0.6,8.78,9.67,17131.88
2025-06-29,0.11,0.51,0.64,7.92,9.28,17103.12
2025-06-30,0.05,0.25,0.32,9.66,11.73,17126.5
2025-07-01,0.04,0.17,0.22,11.26,12.43,17134.62
2025-07-02,0.16,0.52,0.67,7.59,9.34,17131.17
2025-07-03,0.17,0.55,0.7,7.33,7.72,17128.12
2025-07-04,0.12,0.43,0.54,10.01,10.7,17125.88
2025-07-05,0.12,0.42,0.54,6.64,7.94,17122.62
2025-07-06,0.12,0.4,0.51,8.36,8.68,17094.67
2025-07-07,0.19,0.62,0.79,7.57,9.1,17064.71
2025-07-08,0.15,0.54,0.69,8.1,8.77,17050.33
2025-07-09,0.13,0.49,0.62,7.28,7.6,17035.62
2025-07-10,0.09,0.36,0.46,7.76,8.53,17010.5
2025-07-11,0.06,0.33,0.42,8.87,11.22,17012.83
2025-07-12,0.13,0.52,0.66,9.7,10.9,17029.79
2025-07-13,0.13,0.44,0.56,7.24,8.51,17032.21
2025-07-14,0.09,0.35,0.44,9.72,9.65,16996.58
2025-07-15,0.04,0.14,0.18,8.53,9.84,16953.12
2025-07-16,0.02,0.06,0.08,10.01,12.88,16959.11
