Date,Avg_Sig_Wave_Height_(m),Max_Sig_Wave_Height_(m),Max_Top_10%_Wave_Height_(m),Avg_Peak_Period_(sec),Avg_Mean_Period_(sec),Avg_Depth_(mm)
2025-07-16,0.05,0.1,0.13,8.03,9.73,17102.87
2025-07-17,0.04,0.15,0.19,8.71,10.77,17121.58
2025-07-18,0.04,0.22,0.27,12.6,13.18,17117.38
2025-07-19,0.12,0.44,0.56,8.95,10.96,17093.62
2025-07-20,0.14,0.48,0.61,7.49,9.05,17052.62
2025-07-21,0.12,0.45,0.57,8.68,9.41,17042.17
2025-07-22,0.03,0.05,0.06,10.67,12.9,17047.58
2025-07-23,0.13,0.49,0.63,7.94,9.75,17027.17
2025-07-24,0.16,0.5,0.64,7.2,7.45,16985.08
2025-07-25,0.16,0.53,0.67,6.81,7.42,16952.21
2025-07-26,0.1,0.45,0.58,8.55,9.72,16948.83
2025-07-27,0.07,0.3,0.39,10.88,12.45,16948.04
2025-07-28,0.08,0.41,0.52,8.95,10.42,16951.29
2025-07-29,0.13,0.52,0.66,8.01,9.53,16961.71
2025-07-30,0.14,0.44,0.56,7.07,8.26,16975.5
2025-07-31,0.13,0.36,0.46,6.84,7.31,16962.79
2025-08-01,0.1,0.26,0.33,8.15,8.05,16923.08
2025-08-02,0.09,0.41,0.53,7.89,9.13,16927.62
2025-08-03,0.11,0.38,0.48,8.52,9.84,16938.67
2025-08-04,0.1,0.38,0.48,7.8,9.09,16946.33
2025-08-05,0.11,0.37,0.48,7.36,8.06,16927.04
2025-08-06,0.15,0.44,0.56,6.81,7.35,16893.38
2025-08-07,0.09,0.3,0.38,7.31,7.58,16869.71
2025-08-08,0.06,0.11,0.14,8.41,9.51,16835.38
2025-08-09,0.04,0.09,0.11,8.85,10.88,16844.5
2025-08-10,0.05,0.2,0.25,9.93,11.18,16839.38
2025-08-11,0.06,0.19,0.24,9.75,10.8,16815.25
2025-08-12,0.04,0.11,0.13,10.5,11.14,16811.21
2025-08-13,0.04,0.09,0.11,9.51,10.99,16809.42
2025-08-14,0.05,0.08,0.1,8.83,10.4,16812.25
2025-08-15,0.08,0.25,0.32,8.33,9.55,16796.25
2025-08-16,0.14,0.4,0.5,7.15,7.78,16781.46
2025-08-17,0.15,0.42,0.54,6.95,7.57,16787.21
2025-08-18,0.15,0.52,0.66,7.12,7.9,16786.96
2025-08-19,0.16,0.48,0.61,6.56,6.84,16752.96
2025-08-20,0.16,0.39,0.5,5.8,5.98,16720.08
2025-08-21,0.11,0.35,0.45,6.99,7.65,16719.58
2025-08-22,0.08,0.21,0.27,7.94,8.43,16706.96
2025-08-23,0.1,0.32,0.41,7.11,7.9,16681.33
2025-08-24,0.16,0.52,0.66,6.99,7.62,16685.88
2025-08-25,0.12,0.39,0.5,7.8,8.05,16679.08
2025-08-26,0.11,0.36,0.46,6.88,7.77,16676.71
2025-08-27,0.14,0.44,0.56,6.57,7.07,16684.17
2025-08-28,0.14,0.44,0.56,6.77,7.39,16674.04
2025-08-29,0.1,0.39,0.5,7.68,7.87,16673.62
2025-08-30,0.11,0.31,0.4,6.03,7.19,16679.5
2025-08-31,0.18,0.56,0.71,6.65,6.98,16666.38
2025-09-01,0.19,0.49,0.62,6.22,6.08,16623.25
2025-09-02,0.2,0.54,0.68,6.13,6.1,16589.62
2025-09-03,0.15,0.41,0.52,6.55,6.59,16579.79
2025-09-04,0.11,0.29,0.37,7.3,7.36,16584.21
2025-09-05,0.11,0.36,0.46,7.4,8.01,16598.38
2025-09-06,0.11,0.41,0.51,7.33,7.72,16595.29
2025-09-07,0.13,0.4,0.51,6.42,6.69,16579.92
2025-09-08,0.14,0.42,0.54,6.81,6.82,16563.67
2025-09-09,0.14,0.44,0.56,7.02,6.88,16569.92
2025-09-10,0.11,0.35,0.45,7.51,7.37,16568.75
2025-09-11,0.1,0.21,0.26,7.65,7.28,16543.83
2025-09-12,0.08,0.22,0.27,7.65,7.82,16535.96
2025-09-13,0.15,0.57,0.72,7.01,7.16,16537.04
2025-09-14,0.08,0.16,0.21,7.38,7.82,16526.04
2025-09-15,0.11,0.29,0.37,7.02,7.32,16516.83
2025-09-16,0.1,0.43,0.55,7.85,8.04,16499.71
2025-09-17,0.12,0.42,0.53,6.71,7.03,16489.92
2025-09-18,0.15,0.56,0.71,7.07,7.6,16482.75
2025-09-19,0.08,0.35,0.45,8.25,8.7,16478.38
2025-09-20,0.06,0.09,0.12,8.9,9.11,16469.08
2025-09-21,0.06,0.11,0.14,8.54,8.28,16449.83
2025-09-22,0.06,0.1,0.12,8.53,8.81,16456.08
2025-09-23,0.06,0.17,0.21,7.95,8.43,16456.04
2025-09-24,0.14,0.51,0.64,6.69,6.87,16442.71
2025-09-25,0.16,0.53,0.67,6.91,7.56,16428.42
2025-09-26,0.13,0.53,0.67,6.87,7.56,16433.17
2025-09-27,0.06,0.23,0.29,8.07,8.76,16440.58
2025-09-28,0.05,0.08,0.11,9.4,10.19,16434.42
2025-09-29,0.09,0.44,0.56,8.96,9.33,16436.38
2025-09-30,0.1,0.34,0.43,7.71,8.15,16425.46
2025-10-01,0.09,0.33,0.42,7.39,8.4,16404.38
2025-10-02,0.06,0.14,0.17,7.84,7.95,16390.54
2025-10-03,0.05,0.1,0.13,9.29,10.25,16375.12
2025-10-04,0.05,0.16,0.21,9.75,10.79,16407.62
2025-10-05,0.08,0.34,0.44,6.91,7.76,16404.67
2025-10-06,0.08,0.36,0.46,7.52,8.33,16383.96
2025-10-07,0.08,0.31,0.4,8.91,9.32,16363.38
2025-10-08,0.05,0.09,0.12,10.21,10.35,16359.33
2025-10-09,0.07,0.28,0.35,8.71,9.6,16389.29
2025-10-10,0.04,0.08,0.1,9.04,10.32,16394.62
2025-10-11,0.06,0.09,0.11,9.98,9.43,16339.62
2025-10-12,0.11,0.41,0.52,6.9,7.49,16316.5
2025-10-13,0.04,0.07,0.1,9.1,10.5,16332.67
2025-10-14,0.06,0.36,0.46,8.21,9.12,16337.0
2025-10-15,0.04,0.07,0.1,9.64,11.1,16325.92
2025-10-16,0.04,0.08,0.1,9.33,10.81,16322.29
2025-10-17,0.04,0.18,0.23,10.02,11.98,16335.04
2025-10-18,0.11,0.45,0.57,8.18,7.99,16344.79
