Date,Air_Temp_Avg_C,Air_Temp_Min_C,Air_Temp_Max_C,Wind_Speed_Avg_ms,Wind_Speed_Min_ms,Wind_Speed_Max_ms,Wind_Direction_Avg_deg,Humidity_Avg_%,Rainfall_Sum_mm
2025-01-31,13.36,7.2,19.6,1.49,0.1,4.2,177.18,67.4,2.4
2025-02-01,13.59,8.8,20.9,1.33,0.0,2.8,201.1,82.35,0.1
2025-02-02,12.7,6.9,20.2,1.24,0.1,2.6,205.72,74.84,0.0
2025-02-03,13.06,7.7,20.3,1.33,0.2,2.5,186.78,70.54,0.0
2025-02-04,12.87,6.0,20.7,1.54,0.1,3.1,228.81,70.99,0.0
2025-02-05,13.51,9.0,18.0,1.72,0.2,4.7,150.09,81.76,6.9
2025-02-06,12.15,8.0,16.5,2.74,0.3,6.8,203.7,65.99,6.0
2025-02-07,11.01,6.2,16.1,1.82,0.2,4.0,192.72,76.35,0.2
2025-02-08,11.28,4.2,18.7,2.11,0.2,4.1,162.81,65.99,0.0
2025-02-09,11.44,7.4,14.6,0.91,0.0,1.9,167.58,71.49,0.1
2025-02-10,11.15,7.3,14.8,1.0,0.0,2.2,180.94,85.53,3.1
2025-02-11,12.2,8.1,17.9,1.21,0.0,3.6,182.73,78.93,0.1
2025-02-12,10.46,6.8,14.1,1.17,0.1,2.7,189.96,86.94,5.1
2025-02-13,11.67,6.2,20.3,1.78,0.0,5.1,169.13,80.67,0.9
2025-02-14,10.31,4.8,17.1,1.34,0.0,3.2,193.02,77.4,0.0
2025-02-15,15.09,4.5,22.7,1.84,0.5,4.3,232.05,49.48,0.0
2025-02-16,16.29,9.2,21.2,1.83,0.1,4.4,220.37,48.72,0.0
2025-02-17,12.98,6.8,19.3,1.55,0.1,2.9,223.94,74.33,0.0
2025-02-18,13.69,7.9,20.3,1.45,0.1,3.1,215.77,73.04,0.0
2025-02-19,13.98,8.7,19.2,1.22,0.1,3.7,198.49,71.56,0.0
2025-02-20,14.05,10.0,19.9,2.17,0.7,6.2,178.69,76.16,3.3
2025-02-21,11.17,5.5,17.2,1.96,0.1,4.6,179.99,70.42,0.5
2025-02-22,9.48,4.1,14.4,1.95,0.2,4.2,232.93,63.0,0.0
2025-02-23,9.77,6.2,13.8,2.22,0.0,4.2,243.15,56.06,0.0
2025-02-24,7.5,2.7,13.3,1.49,0.6,2.9,178.66,62.56,0.0
2025-02-25,8.37,0.6,15.4,1.82,0.3,4.2,232.66,51.44,0.0
2025-02-26,10.57,2.8,18.6,1.6,0.2,3.4,228.93,54.11,0.0
2025-02-27,12.12,3.4,20.0,1.77,0.7,3.2,248.65,53.76,0.0
2025-02-28,12.3,4.2,21.3,1.98,0.8,3.9,217.76,56.19,0.0
2025-03-01,14.34,8.5,22.2,1.71,0.5,4.1,186.03,67.44,0.0
2025-03-02,13.61,6.7,21.5,1.65,0.3,2.9,232.24,67.21,0.0
2025-03-03,15.49,7.5,23.6,1.18,0.1,2.3,192.56,57.56,0.0
2025-03-04,16.69,10.0,24.9,1.66,0.0,4.0,214.75,57.26,0.0
2025-03-05,17.56,11.8,21.4,4.15,0.9,8.5,73.72,51.84,0.0
2025-03-06,19.1,15.9,22.5,3.52,1.2,6.1,141.44,47.79,0.0
2025-03-07,16.59,12.3,19.0,1.78,0.1,4.4,234.56,67.67,2.4
2025-03-08,16.87,12.2,25.9,2.06,0.0,5.5,205.08,74.47,0.0
2025-03-09,15.67,8.4,23.3,1.56,0.1,4.7,222.9,75.51,0.0
2025-03-10,16.59,10.8,24.8,1.89,0.1,4.8,210.65,73.9,0.0
2025-03-11,16.62,9.1,24.5,1.53,0.0,3.3,222.21,69.59,0.0
2025-03-12,19.8,10.8,30.1,1.65,0.4,3.1,264.91,56.76,0.0
2025-03-13,25.67,14.1,33.1,2.45,0.6,6.0,136.98,32.63,0.0
2025-03-14,24.34,16.6,32.4,1.73,0.1,3.9,217.58,40.76,0.0
2025-03-15,22.35,13.8,33.7,1.53,0.1,3.5,238.31,54.43,0.0
2025-03-16,22.82,14.1,33.8,1.42,0.3,2.9,223.45,48.02,0.0
2025-03-17,21.21,12.0,31.0,1.47,0.1,2.9,222.44,47.99,0.0
2025-03-18,22.1,15.4,32.9,1.88,0.1,5.9,203.97,54.24,0.0
2025-03-19,18.67,12.1,25.5,2.58,0.8,5.3,172.53,65.38,1.6
2025-03-20,14.15,10.4,20.3,3.18,0.4,7.2,161.32,70.42,3.5
2025-03-21,11.03,8.0,15.6,1.98,0.4,4.8,153.48,79.13,3.2
2025-03-22,12.97,7.9,18.7,1.39,0.3,2.5,197.15,65.69,0.3
2025-03-23,13.77,6.6,22.4,1.89,0.3,4.6,223.12,66.01,0.0
2025-03-24,15.9,7.9,25.3,1.86,0.3,3.2,231.63,61.23,0.0
2025-03-25,17.79,10.1,26.9,1.47,0.0,3.8,237.58,61.49,0.0
2025-03-26,20.65,12.0,31.8,1.44,0.0,3.1,252.51,57.81,0.0
2025-03-27,22.96,12.9,32.4,1.54,0.4,2.9,218.49,46.86,0.0
2025-03-28,23.5,14.6,32.5,1.72,0.0,5.9,216.45,47.69,0.0
2025-03-29,21.13,14.6,26.3,2.11,0.2,4.1,207.14,61.75,0.0
2025-03-30,18.27,11.4,25.4,2.19,0.6,5.6,190.2,63.69,0.0
2025-03-31,20.53,10.5,29.4,1.71,0.4,3.7,217.19,50.57,0.0
2025-04-01,26.82,20.8,33.3,2.49,0.7,5.6,147.1,35.08,0.0
2025-04-02,22.53,14.2,28.5,2.47,0.5,6.1,192.43,48.27,0.0
2025-04-03,18.71,11.1,28.9,2.14,0.7,4.3,198.35,55.55,0.0
2025-04-04,17.95,10.6,26.0,2.04,0.3,4.4,227.91,60.81,0.0
2025-04-05,18.67,11.8,26.8,1.78,0.0,4.4,195.27,64.42,0.0
2025-04-06,22.87,12.5,31.9,1.71,0.1,5.9,198.03,44.83,0.0
2025-04-07,22.98,17.2,29.9,1.98,0.1,5.1,219.35,50.6,0.0
2025-04-08,23.34,16.4,30.2,1.48,0.1,3.1,216.06,48.73,0.0
2025-04-09,23.1,17.7,28.5,3.34,0.2,6.6,203.41,51.56,0.0
2025-04-10,17.99,12.4,23.5,2.56,0.1,5.8,206.1,53.52,0.0
2025-04-11,17.91,13.5,23.6,2.71,0.2,5.9,175.11,49.79,0.1
2025-04-12,16.79,11.7,23.7,2.7,0.5,6.2,171.12,64.47,3.3
2025-04-13,16.45,10.7,23.3,1.94,0.3,4.5,183.08,62.62,0.0
2025-04-14,16.83,8.9,23.7,2.76,0.7,5.8,186.88,60.34,0.1
2025-04-15,17.86,10.3,24.5,2.74,0.4,5.4,197.25,47.09,0.0
2025-04-16,17.87,8.6,27.5,1.94,0.4,4.6,252.55,50.19,0.0
2025-04-17,22.86,11.7,30.6,2.06,0.8,4.3,249.21,39.19,0.0
2025-04-18,25.9,17.8,32.2,2.12,0.6,4.7,244.0,30.75,0.0
2025-04-19,23.7,13.6,35.3,2.27,0.1,5.5,220.16,39.39,0.0
2025-04-20,21.4,12.8,31.4,2.14,0.2,5.2,223.22,50.2,0.0
2025-04-21,21.18,13.1,30.6,1.75,0.2,3.8,231.52,58.37,0.0
2025-04-22,24.34,13.6,39.0,1.87,0.0,6.0,196.35,42.18,0.0
2025-04-23,25.02,17.4,34.0,1.67,0.2,6.4,194.35,48.74,0.0
2025-04-24,23.58,20.3,28.0,2.11,0.3,6.1,221.31,61.75,0.0
2025-04-25,22.4,16.2,28.6,2.22,0.6,4.4,186.5,59.61,0.0
2025-04-26,20.91,12.8,28.5,2.36,0.3,5.7,177.55,61.19,0.0
2025-04-27,20.97,13.3,28.6,1.95,0.5,4.3,238.32,62.03,0.0
2025-04-28,21.13,14.3,30.4,2.28,0.3,5.7,210.54,66.28,0.0
2025-04-29,21.56,15.1,29.6,2.25,0.2,6.0,182.14,58.97,0.0
2025-04-30,25.57,13.6,36.1,2.2,0.5,7.5,186.97,45.88,0.0
2025-05-01,23.55,16.3,30.0,2.33,0.1,5.3,195.72,55.07,0.0
2025-05-02,21.9,14.0,30.0,2.17,0.4,4.8,210.49,49.52,0.0
2025-05-03,21.62,13.9,30.3,2.27,0.3,5.8,214.66,45.55,0.0
2025-05-04,21.19,14.1,28.2,2.4,0.6,5.7,200.37,61.24,0.0
2025-05-05,21.81,16.2,28.8,2.12,0.3,4.6,184.17,62.42,0.1
2025-05-06,21.85,13.9,31.7,1.97,0.6,4.7,209.31,54.03,0.0
2025-05-07,22.31,12.4,32.8,2.1,0.5,4.8,219.1,45.44,0.0
2025-05-08,24.59,14.1,37.0,1.87,0.2,4.3,247.58,46.86,0.0
2025-05-09,26.5,16.2,39.6,1.83,0.0,4.1,237.79,42.29,0.0
2025-05-10,27.83,17.8,40.3,2.38,0.2,4.9,221.41,36.34,0.0
2025-05-11,27.13,17.7,38.3,1.92,0.0,6.6,197.29,45.4,0.0
2025-05-12,26.17,19.7,35.7,3.05,0.2,8.5,189.74,52.3,0.0
2025-05-13,25.3,17.7,32.2,2.22,0.3,5.0,200.97,50.81,0.0
2025-05-14,24.77,19.2,30.1,2.77,0.2,5.9,181.01,51.22,0.0
2025-05-15,23.48,17.2,30.8,2.27,0.4,4.8,178.65,57.83,0.0
2025-05-16,24.58,14.2,33.9,1.46,0.1,3.6,228.56,50.06,0.0
2025-05-17,28.95,18.5,40.2,1.77,0.0,5.2,233.01,34.57,0.0
2025-05-18,28.12,22.6,34.9,2.55,0.4,6.2,213.7,46.11,0.0
2025-05-19,25.48,19.5,32.1,2.68,0.7,5.4,192.76,50.55,0.0
2025-05-20,22.72,14.8,31.6,2.38,0.2,5.1,210.12,60.16,0.0
2025-05-21,23.69,15.1,31.9,2.13,1.0,4.0,196.23,61.42,0.0
2025-05-22,25.28,17.7,35.3,2.26,0.5,4.8,229.42,62.45,0.0
2025-05-23,27.27,21.4,35.0,3.2,0.3,6.4,191.26,55.4,0.0
2025-05-24,26.42,19.1,36.1,2.29,0.3,5.8,190.1,53.54,0.0
2025-05-25,25.92,16.7,36.5,2.16,0.3,4.8,230.67,49.92,0.0
2025-05-26,27.71,18.0,39.5,1.86,0.3,5.4,209.61,42.77,0.0
2025-05-27,27.01,19.6,32.5,3.14,0.7,5.8,206.26,53.53,0.0
2025-05-28,24.72,18.8,30.7,2.72,0.6,5.3,174.46,56.26,0.0
2025-05-29,25.47,17.5,32.2,2.33,0.7,4.9,183.91,52.69,0.0
2025-05-30,25.13,18.2,33.3,2.07,0.3,4.6,219.85,52.47,0.0
2025-05-31,27.39,15.9,39.0,2.29,0.4,5.9,207.6,39.51,0.0
2025-06-01,26.88,20.4,33.4,2.19,0.0,5.8,193.17,52.26,0.0
2025-06-02,24.91,18.3,30.9,2.58,0.6,5.4,194.11,57.74,0.0
2025-06-03,25.82,20.5,32.1,3.01,1.0,6.9,193.14,58.08,0.0
2025-06-04,27.03,19.5,34.3,2.69,0.5,6.0,176.26,57.13,0.0
2025-06-05,27.03,18.8,37.1,2.28,0.7,4.0,218.78,57.27,0.0
2025-06-06,27.13,18.1,37.2,2.39,0.6,4.7,222.98,51.88,0.0
2025-06-07,27.01,19.2,36.1,2.31,0.7,5.0,195.46,57.07,0.0
2025-06-08,26.94,19.5,35.3,2.38,0.5,6.1,185.08,59.16,0.0
2025-06-09,27.48,21.4,34.9,2.26,0.3,4.8,188.0,62.45,0.0
2025-06-10,27.71,21.7,35.5,2.06,0.3,4.9,200.77,64.96,0.0
2025-06-11,28.63,22.6,36.4,2.14,0.6,5.1,188.68,59.1,0.0
2025-06-12,28.32,20.5,37.9,2.27,0.5,5.2,223.43,56.03,0.0
2025-06-13,28.02,18.7,38.6,2.35,0.3,5.7,217.16,51.78,0.0
2025-06-14,28.85,20.3,38.3,2.44,0.7,5.7,198.43,53.54,0.0
2025-06-15,28.07,21.3,36.2,2.45,0.5,5.2,195.52,61.38,0.0
2025-06-16,27.69,21.8,36.3,2.19,0.5,5.2,232.41,59.72,0.0
2025-06-17,27.7,21.0,36.0,2.42,0.8,5.3,204.22,62.26,0.0
2025-06-18,28.18,20.1,38.3,2.13,0.5,5.0,225.16,57.1,0.0
2025-06-19,28.47,20.0,38.1,2.53,0.5,5.7,199.78,55.4,0.0
2025-06-20,28.25,19.9,37.5,2.73,0.3,6.9,190.79,57.61,0.0
2025-06-21,28.95,21.5,38.0,2.19,0.5,5.1,190.1,57.57,0.0
2025-06-22,28.5,22.0,37.0,2.28,0.3,5.4,199.33,62.82,0.0
2025-06-23,29.11,23.5,36.2,2.49,0.1,5.3,231.57,61.67,0.0
2025-06-24,29.68,23.8,36.7,2.43,0.6,5.1,196.4,59.43,0.0
2025-06-25,29.46,22.5,37.5,2.51,0.9,5.8,201.71,59.88,0.0
2025-06-26,29.62,22.3,38.2,2.44,0.6,4.7,187.7,56.6,0.0
2025-06-27,28.86,20.7,38.4,2.31,0.7,4.4,204.22,51.38,0.0
2025-06-28,29.27,20.0,39.5,2.38,0.1,6.5,220.74,46.81,0.0
2025-06-29,30.84,21.1,40.8,2.68,0.5,6.1,181.09,39.41,0.0
2025-06-30,29.71,20.5,38.1,2.25,0.3,5.6,191.01,53.83,0.0
2025-07-01,29.98,21.3,39.9,2.32,0.2,6.1,205.35,48.52,0.0
2025-07-02,29.49,21.2,37.6,2.7,0.6,6.6,184.97,50.53,0.0
2025-07-03,30.32,23.4,37.5,2.68,0.3,6.8,175.47,58.65,0.0
2025-07-04,30.94,25.3,36.9,2.72,0.6,5.8,199.53,48.9,0.0
2025-07-05,30.45,23.2,36.9,2.83,1.0,5.4,198.34,45.58,0.0
2025-07-06,29.85,21.4,38.2,2.78,0.6,6.5,206.9,54.81,0.0
2025-07-07,31.64,24.6,39.3,2.76,0.6,7.3,175.53,54.8,0.0
2025-07-08,31.24,25.5,39.5,2.68,0.6,6.1,182.25,57.45,0.0
2025-07-09,29.79,23.8,37.7,2.46,0.6,5.6,187.79,58.76,0.0
2025-07-10,30.24,23.5,38.9,2.22,0.4,5.0,191.47,61.13,0.0
2025-07-11,31.25,24.9,38.7,2.4,0.8,5.4,191.72,59.06,0.0
2025-07-12,30.6,23.5,39.3,2.65,0.3,6.5,195.02,55.07,0.0
2025-07-13,29.54,22.2,37.9,2.54,0.6,5.7,204.03,59.94,0.0
2025-07-14,29.33,22.0,37.6,2.36,0.0,6.7,203.24,58.27,0.0
2025-07-15,30.16,23.3,37.9,1.91,0.2,4.4,197.76,55.62,0.0
2025-07-16,29.73,22.1,39.1,2.15,0.4,5.5,213.06,54.38,0.0
2025-07-17,30.09,21.3,39.8,2.02,0.1,4.6,211.55,44.82,0.0
2025-07-18,31.14,23.1,40.1,2.17,0.7,4.8,193.99,40.93,0.0
2025-07-19,30.34,23.9,36.8,2.64,0.2,5.7,190.1,58.58,0.0
2025-07-20,30.47,24.1,37.0,2.37,0.5,5.3,195.92,60.06,0.0
2025-07-21,31.56,26.0,38.4,2.8,0.5,6.4,192.4,57.58,0.0
2025-07-22,31.45,25.2,38.6,2.33,0.6,4.2,185.3,62.19,0.0
2025-07-23,32.67,25.3,40.7,2.88,0.7,6.7,174.9,54.36,0.0
2025-07-24,32.37,24.6,40.6,2.62,0.4,6.2,173.72,52.6,0.0
2025-07-25,32.19,24.8,39.7,2.36,0.0,5.5,167.58,57.91,0.0
2025-07-26,32.59,25.6,42.3,2.21,0.0,6.9,196.03,58.51,0.0
2025-07-27,32.89,24.4,42.0,2.0,0.0,4.9,178.27,51.26,0.0
2025-07-28,31.67,24.1,41.6,2.41,0.0,6.1,196.17,57.38,0.0
2025-07-29,31.64,26.1,38.6,2.55,0.4,5.6,200.92,60.81,0.0
2025-07-30,31.45,26.3,38.2,2.44,0.1,5.2,204.24,58.42,0.0
2025-07-31,30.98,27.0,36.0,2.71,0.8,5.4,205.01,56.15,0.0
2025-08-01,30.82,25.2,36.8,2.39,0.0,4.9,195.14,56.04,0.0
2025-08-02,30.61,24.5,37.7,2.16,0.0,5.6,191.67,59.78,0.0
2025-08-03,30.47,24.4,37.1,2.28,0.2,5.5,187.49,59.24,0.0
2025-08-04,29.76,23.2,37.0,2.2,0.7,5.2,173.27,59.36,0.0
2025-08-05,29.26,21.6,36.5,2.27,0.5,4.5,194.19,60.33,0.0
2025-08-06,30.61,24.5,37.8,2.45,0.2,5.5,201.96,60.79,0.0
2025-08-07,31.38,25.3,38.2,2.07,0.2,5.1,201.12,58.36,0.0
2025-08-08,31.71,24.9,40.0,1.65,0.4,3.6,226.67,61.8,0.0
2025-08-09,33.59,29.4,40.0,1.8,0.2,4.1,222.61,63.56,0.0
2025-08-10,33.17,28.8,40.0,1.96,0.1,4.8,220.01,61.63,0.0
2025-08-11,33.49,28.0,41.8,1.83,0.1,5.1,254.13,60.45,0.0
2025-08-12,34.47,27.9,42.5,1.5,0.1,3.1,222.42,57.03,0.0
2025-08-13,35.58,29.5,45.1,1.72,0.1,4.1,213.7,55.48,0.0
2025-08-14,33.55,27.3,43.4,1.92,0.5,4.2,214.89,53.44,0.0
2025-08-15,33.24,24.3,41.6,2.72,0.8,6.5,177.3,46.14,0.0
2025-08-16,32.15,26.9,38.8,2.68,0.5,4.9,186.71,54.8,0.0
2025-08-17,30.54,24.7,37.1,2.57,0.4,5.7,184.71,56.54,0.0
2025-08-18,29.98,24.0,36.6,2.88,0.3,7.3,192.57,58.28,0.0
2025-08-19,30.17,22.9,37.6,2.9,0.3,6.4,184.15,58.94,0.0
2025-08-20,31.25,24.9,38.1,2.68,0.5,5.8,184.4,56.02,0.0
2025-08-21,30.33,23.8,37.9,2.21,0.2,5.2,185.29,61.9,0.0
2025-08-22,30.86,25.3,38.2,2.23,0.7,4.9,185.69,64.16,0.0
2025-08-23,31.32,25.7,39.5,2.39,0.6,6.6,184.11,61.67,0.0
2025-08-24,31.83,25.8,40.1,2.26,0.3,5.4,171.05,61.56,0.0
2025-08-25,31.12,24.9,38.0,2.33,0.5,5.3,175.07,59.42,0.0
2025-08-26,30.68,24.9,37.2,2.33,0.3,5.1,167.15,57.53,0.0
2025-08-27,30.58,25.2,36.7,2.37,0.2,5.4,183.46,60.46,0.0
2025-08-28,29.95,24.2,36.9,2.4,0.0,5.7,190.81,58.39,0.0
2025-08-29,28.78,22.1,36.2,2.02,0.4,5.4,161.81,59.48,0.0
2025-08-30,28.57,21.0,35.7,2.04,0.4,4.8,184.76,56.64,0.0
2025-08-31,29.15,22.0,37.0,2.58,0.3,5.7,183.13,59.08,0.0
2025-09-01,29.61,22.4,37.2,2.6,0.5,5.5,194.24,60.03,0.0
2025-09-02,30.51,26.2,36.8,2.64,0.8,5.5,182.26,59.51,0.0
2025-09-03,29.77,23.6,36.4,2.35,0.0,5.5,191.92,58.98,0.0
2025-09-04,29.18,22.0,37.8,1.84,0.1,4.4,186.97,61.37,0.0
2025-09-05,29.13,22.6,37.2,2.02,0.4,5.3,213.59,64.19,0.0
2025-09-06,28.98,22.0,37.8,2.38,0.7,6.2,207.27,63.09,0.0
2025-09-07,29.01,22.9,35.7,1.98,0.2,4.8,197.58,60.17,0.0
2025-09-08,28.61,21.8,36.0,2.37,0.6,5.2,167.21,60.92,0.0
2025-09-09,28.91,22.2,36.3,2.15,0.6,4.6,170.02,57.85,0.0
2025-09-10,28.21,21.2,35.7,2.05,0.6,5.2,178.4,60.42,0.0
2025-09-11,28.05,21.1,36.7,1.89,0.4,4.6,208.67,63.42,0.0
2025-09-12,28.58,21.6,36.6,1.9,0.7,4.2,218.87,61.94,0.0
2025-09-13,28.21,21.3,37.6,2.34,0.0,7.4,191.56,65.17,0.0
2025-09-14,28.44,21.8,37.2,1.91,0.4,4.6,213.21,66.87,0.0
2025-09-15,28.74,23.0,36.3,2.08,0.4,4.9,216.47,66.51,0.0
2025-09-16,28.66,22.6,35.3,2.13,0.7,5.1,192.42,64.41,0.0
2025-09-17,28.7,23.0,35.3,2.16,0.5,4.8,182.19,63.6,0.0
2025-09-18,28.88,22.7,35.8,2.26,0.3,5.0,168.75,61.91,0.0
2025-09-19,29.07,21.9,35.8,2.06,0.2,5.2,195.01,57.46,0.0
2025-09-20,27.94,20.1,36.4,1.61,0.3,3.4,228.81,46.63,0.0
2025-09-21,28.36,18.5,37.1,1.74,0.5,3.2,241.6,39.72,0.0
2025-09-22,29.62,21.1,37.6,1.73,0.5,3.7,224.99,36.69,0.0
2025-09-23,28.94,19.8,37.6,1.84,0.1,3.8,205.23,44.31,0.0
2025-09-24,28.94,23.7,36.5,2.35,0.6,5.4,193.27,56.56,0.0
2025-09-25,27.13,23.1,31.7,2.78,0.2,6.5,183.56,62.15,0.2
2025-09-26,27.42,21.2,34.5,2.12,0.7,4.6,180.0,64.25,0.0
2025-09-27,26.65,21.2,35.6,1.76,0.2,3.4,216.72,66.95,0.0
2025-09-28,26.89,18.3,36.8,1.59,0.0,3.2,198.14,49.19,0.0
2025-09-29,27.18,21.3,36.3,2.2,0.6,6.0,181.63,56.76,0.0
2025-09-30,27.13,20.9,33.8,1.98,0.1,5.2,177.67,63.63,0.0
2025-10-01,26.06,20.1,33.1,1.99,0.2,4.8,181.26,61.78,0.0
2025-10-02,25.93,18.7,34.0,1.63,0.1,3.8,173.69,58.68,0.0
2025-10-03,26.76,19.3,38.0,1.55,0.3,2.8,201.03,54.47,0.0
2025-10-04,28.5,23.3,34.9,1.99,0.2,4.4,190.83,48.19,0.0
2025-10-05,27.98,21.6,34.3,2.12,0.7,4.3,195.74,63.18,0.0
2025-10-06,27.75,22.3,33.2,2.19,0.5,4.8,198.33,52.72,0.0
2025-10-07,25.54,18.4,33.1,1.83,0.3,4.9,167.76,57.82,0.0
2025-10-08,25.35,19.1,33.6,1.58,0.1,3.7,196.28,58.39,0.0
2025-10-09,24.67,20.5,30.3,1.87,0.4,4.1,179.39,57.52,1.0
2025-10-10,25.04,18.0,30.9,1.8,0.4,3.8,209.81,57.79,0.0
2025-10-11,24.15,16.9,32.2,1.83,0.6,3.4,221.94,54.82,0.0
2025-10-12,24.12,18.4,31.0,1.84,0.1,4.9,193.89,62.78,0.0
2025-10-13,24.81,18.6,32.3,1.74,0.5,3.6,189.05,54.97,0.0
2025-10-14,23.04,16.4,31.5,2.03,0.4,4.8,217.99,52.22,0.0
2025-10-15,22.92,15.1,31.5,1.64,0.5,3.7,172.33,57.38,0.0
2025-10-16,23.77,16.9,31.0,1.84,0.5,3.8,247.65,59.17,0.0
2025-10-17,24.3,18.0,30.6,1.62,0.2,3.6,212.59,61.38,0.0
2025-10-18,24.34,17.8,31.9,1.94,0.5,4.9,167.68,62.62,0.0
2025-10-19,24.21,17.7,31.5,2.38,0.6,4.7,163.32,62.64,0.0
2025-10-20,23.98,17.8,31.4,1.75,0.2,5.0,185.58,69.35,0.0
2025-10-21,23.88,17.6,33.7,1.43,0.2,2.9,225.79,62.83,0.0
2025-10-22,23.73,16.1,32.9,1.59,0.5,2.8,243.9,49.62,0.0
2025-10-23,24.74,17.1,33.9,1.57,0.2,2.7,221.97,44.88,0.0
2025-10-24,24.64,18.1,33.1,2.02,0.2,5.5,196.11,53.82,0.0
2025-10-25,23.14,16.8,31.4,1.72,0.2,3.9,202.75,69.19,0.0
2025-10-26,23.48,17.9,30.6,1.85,0.5,4.2,196.1,67.87,0.0
2025-10-27,22.8,17.3,29.3,1.51,0.6,2.7,216.2,67.7,0.0
2025-10-28,23.48,16.5,30.7,1.71,0.3,3.6,216.46,61.94,0.0
2025-10-29,23.81,17.7,31.5,1.85,0.0,3.6,174.28,70.06,0.0
2025-10-30,23.64,17.8,30.1,1.66,0.6,3.3,250.56,64.51,0.0
2025-10-31,23.45,16.1,33.1,1.46,0.3,2.7,190.15,46.2,0.0
2025-11-01,22.94,14.9,32.8,1.55,0.2,2.7,231.47,44.94,0.0
2025-11-02,23.35,14.8,35.5,1.47,0.1,2.5,211.46,45.52,0.0
2025-11-03,25.65,16.9,35.6,1.74,0.3,3.6,206.23,41.35,0.0
2025-11-04,24.5,19.2,33.1,1.27,0.0,2.8,176.03,52.82,0.0
2025-11-05,25.26,18.4,34.9,1.1,0.0,2.5,208.19,42.88,0.0
2025-11-06,24.42,15.4,34.3,1.67,0.6,3.0,194.71,47.06,0.0
2025-11-07,24.21,18.5,30.9,1.37,0.1,3.4,164.72,61.69,0.0
2025-11-08,22.65,17.3,29.6,1.4,0.3,2.4,212.33,58.53,0.0
2025-11-09,21.76,14.4,32.6,1.2,0.0,2.2,181.19,49.3,0.0
2025-11-10,22.89,14.4,33.5,1.49,0.3,3.2,204.17,34.24,0.0
2025-11-11,22.58,14.1,29.3,1.54,0.0,3.3,220.39,44.58,0.0
2025-11-12,23.16,18.7,28.3,1.55,0.4,3.0,209.22,65.75,0.0
2025-11-13,22.98,17.4,30.0,1.39,0.2,3.4,194.61,59.03,0.0
2025-11-14,17.19,13.7,21.6,1.4,0.0,4.6,158.49,86.07,15.4
2025-11-15,17.75,14.3,21.7,2.52,0.1,6.9,145.69,86.58,13.3
