Date,Air_Temp_Avg_C,Air_Temp_Min_C,Air_Temp_Max_C,Wind_Speed_Avg_ms,Wind_Speed_Min_ms,Wind_Speed_Max_ms,Wind_Direction_Avg_deg,Humidity_Avg_%,Rainfall_Sum_mm
2025-01-01,10.4,6.3,16.1,1.21,0.0,2.3,175.43,83.13,0.1
2025-01-02,10.61,5.6,17.9,1.15,0.1,2.1,181.17,80.35,0.0
2025-01-03,11.19,5.0,20.2,1.47,0.8,2.5,186.33,71.79,0.0
2025-01-04,13.32,6.0,20.4,1.55,0.1,3.0,174.4,59.54,0.0
2025-01-05,19.55,16.1,24.2,2.57,0.8,5.6,125.1,30.65,0.0
2025-01-06,17.38,11.5,21.7,2.24,0.4,4.8,163.26,43.37,0.0
2025-01-07,14.9,8.6,22.9,1.42,0.3,4.0,159.51,53.75,0.0
2025-01-08,14.64,7.7,23.2,1.61,0.2,3.8,152.32,52.57,0.0
2025-01-09,18.14,12.2,23.5,3.16,0.3,5.6,107.67,36.44,0.0
2025-01-10,17.55,13.7,24.1,2.77,0.3,6.3,116.14,46.32,4.1
2025-01-11,13.96,8.7,20.0,1.47,0.0,4.4,155.12,80.2,6.5
2025-01-12,13.37,9.3,18.0,1.29,0.0,3.3,202.28,84.62,0.0
2025-01-13,15.69,8.9,23.3,1.3,0.1,2.6,214.54,64.23,0.0
2025-01-14,18.03,11.8,24.8,1.64,0.1,4.0,159.72,43.35,0.0
2025-01-15,15.46,9.4,23.8,1.5,0.1,2.9,170.25,56.62,0.0
2025-01-16,14.75,11.0,19.6,1.15,0.0,2.5,198.01,78.07,0.0
2025-01-17,13.73,9.6,18.3,1.28,0.2,2.3,192.02,80.87,0.0
2025-01-18,13.06,8.4,21.1,1.49,0.2,4.0,199.47,72.76,0.0
2025-01-19,11.82,6.5,17.7,1.3,0.0,3.3,174.64,77.28,0.0
2025-01-20,13.78,6.4,23.2,1.8,0.1,4.2,173.73,74.35,0.0
2025-01-21,16.78,9.7,24.3,1.87,0.1,3.7,182.68,49.03,0.0
2025-01-22,15.96,11.2,19.1,1.63,0.0,5.2,164.84,45.42,0.0
2025-01-23,13.44,9.7,18.6,1.47,0.0,3.7,170.69,76.47,2.7
2025-01-24,12.73,7.6,20.4,1.37,0.4,2.6,177.59,79.54,0.0
2025-01-25,12.83,8.5,19.5,1.28,0.1,3.3,201.28,76.47,0.0
2025-01-26,14.22,8.7,20.8,1.36,0.1,2.9,160.51,66.54,0.0
2025-01-27,16.27,10.6,23.6,1.43,0.4,3.4,181.85,57.12,0.0
2025-01-28,17.8,13.1,22.3,2.91,0.6,5.1,156.53,41.13,0.0
2025-01-29,16.77,10.4,23.1,1.66,0.4,3.6,181.59,46.47,0.0
2025-01-30,13.96,8.4,21.4,1.5,0.4,2.4,217.47,60.33,0.0
